Make,proportion
REMOS ACFT GMBH FLUGZEUGBAU,6.754779006146849e-05
CONTINENTAL COPTERS INC.,6.754779006146849e-05
ROBIN,6.754779006146849e-05
Grumman-Schweizer,6.754779006146849e-05
Guimbal,6.754779006146849e-05
Scorpion,6.754779006146849e-05
AMERICAN EUROCOPTER CORP,6.754779006146849e-05
General Balloon,6.754779006146849e-05
Harris,6.754779006146849e-05
Boeing Vertol,6.754779006146849e-05
Denney,6.754779006146849e-05
Evektor Aerotechnik,6.754779006146849e-05
Airmass,6.754779006146849e-05
Carlson,6.754779006146849e-05
Saab-fairchild,6.754779006146849e-05
EXTRA,6.754779006146849e-05
SUKHOI,6.754779006146849e-05
AMATEUR CONSTRUCTION,6.754779006146849e-05
MCDONNELL DOUGLAS AIRCRAFT CO,6.754779006146849e-05
Hayes,6.754779006146849e-05
ANTONOV,6.754779006146849e-05
BURKHART GROB FLUGZEUGBAU,6.754779006146849e-05
NEW PIPER AIRCRAFT INC,6.754779006146849e-05
American Eurocopter,6.754779006146849e-05
Schmidt,6.754779006146849e-05
Avian,6.754779006146849e-05
CANADAIR,6.754779006146849e-05
FLEET,6.754779006146849e-05
Bowers,6.754779006146849e-05
TL ULTRALIGHT SRO,6.754779006146849e-05
Schempp Hirth,6.754779006146849e-05
KUBICEK,6.754779006146849e-05
CLASSIC AIRCRAFT CORP,5.628982505122374e-05
Huff,5.628982505122374e-05
DESTINY,5.628982505122374e-05
Quad City Ultralight Aircraft,5.628982505122374e-05
Morgan,5.628982505122374e-05
SHORT BROS. & HARLAND,5.628982505122374e-05
Jenkins,5.628982505122374e-05
Aerostar International Inc.,5.628982505122374e-05
Cgs Aviation,5.628982505122374e-05
Smith Miniplane,5.628982505122374e-05
Alexander,5.628982505122374e-05
Dassault/sud,5.628982505122374e-05
Canadian Car & Foundry,5.628982505122374e-05
American Blimp Corp.,5.628982505122374e-05
Glassair,5.628982505122374e-05
BRITISH AEROSPACE,5.628982505122374e-05
Bucker Flugzeugbau,5.628982505122374e-05
TAYLORCRAFT AVIATION CORP,5.628982505122374e-05
Curtiss,5.628982505122374e-05
Emair,5.628982505122374e-05
ROLLADEN-SCHNEIDER,5.628982505122374e-05
Jackson,5.628982505122374e-05
Walker,5.628982505122374e-05
Firefly,5.628982505122374e-05
Bennett,5.628982505122374e-05
AGUSTA BELL,5.628982505122374e-05
Cirrus Design Corp,5.628982505122374e-05
Vickers,5.628982505122374e-05
Butler,5.628982505122374e-05
Sabreliner Corp.,5.628982505122374e-05
Stits,5.628982505122374e-05
HEAD BALLOONS INC,5.628982505122374e-05
EUROCOPTER FRANCE,5.628982505122374e-05
Reims,5.628982505122374e-05
FANTASY AIR SRO,5.628982505122374e-05
NORTH WING,5.628982505122374e-05
PZL-SWIDNIK,5.628982505122374e-05
MESSERSCHMITT-BOLKOW-BLOHM,5.628982505122374e-05
Powrachute,5.628982505122374e-05
Wolf,5.628982505122374e-05
Moravan,5.628982505122374e-05
Holmes,5.628982505122374e-05
Ultramagic,5.628982505122374e-05
BEECHCRAFT,5.628982505122374e-05
Northrop,5.628982505122374e-05
Rogers,5.628982505122374e-05
BRITTEN-NORMAN,5.628982505122374e-05
PROGRESSIVE AERODYNE INC,5.628982505122374e-05
EAGLE,5.628982505122374e-05
Nicholson,5.628982505122374e-05
STEARMAN AIRCRAFT,5.628982505122374e-05
ARION AIRCRAFT LLC,5.628982505122374e-05
EVOLUTION TRIKES,5.628982505122374e-05
Volksplane,5.628982505122374e-05
GLASAIR,5.628982505122374e-05
Wizard,5.628982505122374e-05
Liberty Aerospace Inc.,5.628982505122374e-05
Engineering & Research,5.628982505122374e-05
Sud Aviation,5.628982505122374e-05
COSMOS,5.628982505122374e-05
North Wing,5.628982505122374e-05
GATES LEAR JET,5.628982505122374e-05
GENERAL ATOMICS,5.628982505122374e-05
Parker,5.628982505122374e-05
MD HELICOPTERS INC,5.628982505122374e-05
ECLIPSE AVIATION CORP,5.628982505122374e-05
Aviat Aircraft Inc,5.628982505122374e-05
Russell,5.628982505122374e-05
Air Creation,5.628982505122374e-05
ULTRAMAGIC SA,5.628982505122374e-05
Monocoupe,5.628982505122374e-05
JOHNSON,5.628982505122374e-05
North American Rockwell Corp.,5.628982505122374e-05
Carter,5.628982505122374e-05
NORTH WING UUM INC,5.628982505122374e-05
Rich,5.628982505122374e-05
Laister,5.628982505122374e-05
TITAN,5.628982505122374e-05
ALEXANDER SCHLEICHER GMBH & CO,5.628982505122374e-05
Anderson,5.628982505122374e-05
Mason,5.628982505122374e-05
PIETENPOL,5.628982505122374e-05
AIRCRAFT MFG & DEVELOPMENT CO,4.5031860040978995e-05
HELICOPTERES GUIMBAL,4.5031860040978995e-05
CONSOLIDATED VULTEE,4.5031860040978995e-05
Eaa Biplane,4.5031860040978995e-05
Hawker Beechcraft Corporation,4.5031860040978995e-05
Curtis-wright,4.5031860040978995e-05
EXTRA FLUGZEUGPRODUKTIONS-UND,4.5031860040978995e-05
Teal,4.5031860040978995e-05
Diamond Aircraft,4.5031860040978995e-05
Firefly Balloons,4.5031860040978995e-05
Fantasy Sky Promotions,4.5031860040978995e-05
THRUSH,4.5031860040978995e-05
INFINITY,4.5031860040978995e-05
SCHEMPP HIRTH,4.5031860040978995e-05
IAI,4.5031860040978995e-05
Chamberlain,4.5031860040978995e-05
Corben,4.5031860040978995e-05
Wsk Pzl Warzawa-okecie,4.5031860040978995e-05
"Funk, D.d. Aviation Co.",4.5031860040978995e-05
Woods,4.5031860040978995e-05
STEMME GMBH & CO,4.5031860040978995e-05
PARTENAVIA,4.5031860040978995e-05
Swift,4.5031860040978995e-05
AMERICAN EUROCOPTER LLC,4.5031860040978995e-05
Universal Stinson,4.5031860040978995e-05
STEARMAN,4.5031860040978995e-05
AERO SP Z O O,4.5031860040978995e-05
LINDSTRAND,4.5031860040978995e-05
Quest,4.5031860040978995e-05
BUCKEYE INDUSTRIES,4.5031860040978995e-05
Jihlavan,4.5031860040978995e-05
Murphy Aircraft,4.5031860040978995e-05
Flight Design Gmbh,4.5031860040978995e-05
Questair,4.5031860040978995e-05
Evolution,4.5031860040978995e-05
Sorrell,4.5031860040978995e-05
Wsk Pzl Krosno,4.5031860040978995e-05
Baker,4.5031860040978995e-05
Palen,4.5031860040978995e-05
Kelly,4.5031860040978995e-05
Nelson,4.5031860040978995e-05
Mikoyan Mig,4.5031860040978995e-05
Titan Aircraft,4.5031860040978995e-05
Wsk Pzl,4.5031860040978995e-05
Griffin,4.5031860040978995e-05
Lee,4.5031860040978995e-05
Cirrus Design,4.5031860040978995e-05
McDonnell Douglas,4.5031860040978995e-05
Goodyear,4.5031860040978995e-05
PZL MIELEC,4.5031860040978995e-05
Shaffer,4.5031860040978995e-05
Pierce,4.5031860040978995e-05
Jodel,4.5031860040978995e-05
Hanson,4.5031860040978995e-05
AEROVODOCHODY,4.5031860040978995e-05
Olson,4.5031860040978995e-05
AGUSTAWESTLAND,4.5031860040978995e-05
Green,4.5031860040978995e-05
HAWKER SIDDELEY,4.5031860040978995e-05
NANCHANG,4.5031860040978995e-05
Thorpe,4.5031860040978995e-05
Hamilton,4.5031860040978995e-05
Cosmos,4.5031860040978995e-05
Peterson,4.5031860040978995e-05
Jonas,4.5031860040978995e-05
Staudacher,4.5031860040978995e-05
Christian,4.5031860040978995e-05
Stoddard Hamilton,4.5031860040978995e-05
Sonerai,4.5031860040978995e-05
PIPER AIRCRAFT,4.5031860040978995e-05
Condor,4.5031860040978995e-05
BELL HELICOPTER,4.5031860040978995e-05
Ercoupe (Eng & Research Corp.),4.5031860040978995e-05
American Champion (ACAC),4.5031860040978995e-05
Allen,4.5031860040978995e-05
Mattison,4.5031860040978995e-05
Savage,4.5031860040978995e-05
Textron Aviation,4.5031860040978995e-05
Hudson,4.5031860040978995e-05
Mccoy,4.5031860040978995e-05
Hill,4.5031860040978995e-05
Morane-saulnier,4.5031860040978995e-05
Spencer,4.5031860040978995e-05
Meyer,4.5031860040978995e-05
FOUND ACFT CANADA INC,4.5031860040978995e-05
DG FLUGZEUGBAU GMBH,4.5031860040978995e-05
CONVAIR,4.5031860040978995e-05
Robbins,4.5031860040978995e-05
CAMERON BALLOONS,4.5031860040978995e-05
PIPISTREL,4.5031860040978995e-05
Columbia,4.5031860040978995e-05
Whittman,4.5031860040978995e-05
