Longitude,proportion
-74.124723,0.00017455561050824775
-104.543055,0.00017455561050824775
-149.845555,0.00017455561050824775
0815016W,0.00017455561050824775
0110122W,0.00017455561050824775
-80.849722,0.00017455561050824775
-82.528889,0.00017455561050824775
0972635W,0.00017455561050824775
-149.833333,0.00017455561050824775
0119540W,0.00017455561050824775
-111.910556,0.00017455561050824775
0104380W,0.00017455561050824775
-108.542777,0.00017455561050824775
0845620W,0.00017455561050824775
0734644W,0.00017455561050824775
1182022W,0.00017455561050824775
-74.314444,0.00017455561050824775
-118.4,0.00017455561050824775
-87.904444,0.00017455561050824775
0981419W,0.00017455561050824775
-118.151389,0.00017455561050824775
-151.0325,0.00017455561050824775
0112213W,0.00017455561050824775
0931341W,0.00017455561050824775
0873146W,0.00017455561050824775
0106522W,0.00017455561050824775
0086370W,0.00017455561050824775
1195943W,0.00017455561050824775
-118.408056,0.00017455561050824775
-81.333056,0.00017455561050824775
-71.517778,0.00017455561050824775
1163024W,0.00017455561050824775
0117365W,0.00014546300875687313
1225632W,0.00014546300875687313
0824533W,0.00014546300875687313
0112041W,0.00014546300875687313
-70.728611,0.00014546300875687313
-84.395277,0.00014546300875687313
-116.854444,0.00014546300875687313
0742730W,0.00014546300875687313
0119465W,0.00014546300875687313
-81.206389,0.00014546300875687313
-111.982778,0.00014546300875687313
-104.496389,0.00014546300875687313
0882832W,0.00014546300875687313
-118.016667,0.00014546300875687313
0741440W,0.00014546300875687313
-111.897777,0.00014546300875687313
-93.216945,0.00014546300875687313
-111.9,0.00014546300875687313
0772227W,0.00014546300875687313
0156244W,0.00014546300875687313
0881413W,0.00014546300875687313
0974111W,0.00014546300875687313
0902212W,0.00014546300875687313
0073313W,0.00014546300875687313
0842326W,0.00014546300875687313
0011825W,0.00014546300875687313
0011895W,0.00014546300875687313
-97.411667,0.00014546300875687313
0814519W,0.00014546300875687313
1592926W,0.00014546300875687313
-80.368056,0.00014546300875687313
0066554W,0.00014546300875687313
0121215W,0.00014546300875687313
0117055W,0.00014546300875687313
1232121W,0.00014546300875687313
-110.005556,0.00014546300875687313
-71.514722,0.00014546300875687313
1223945W,0.00014546300875687313
0074107W,0.00014546300875687313
0865937W,0.00014546300875687313
0843549W,0.00014546300875687313
-116.222778,0.00014546300875687313
0117369W,0.00014546300875687313
-71.418889,0.00014546300875687313
0098219W,0.00014546300875687313
0802329W,0.00014546300875687313
-150.052778,0.00014546300875687313
1225355W,0.00014546300875687313
-88.418611,0.00014546300875687313
0010600W,0.00014546300875687313
0082210W,0.00014546300875687313
1223619W,0.00014546300875687313
0801742W,0.00014546300875687313
1182621W,0.00014546300875687313
0112344W,0.00014546300875687313
0083216W,0.00014546300875687313
1204512W,0.00014546300875687313
0933359W,0.00014546300875687313
-97.197777,0.00014546300875687313
-77.711111,0.00014546300875687313
-79.93,0.00014546300875687313
-111.671111,0.00014546300875687313
0096355W,0.00014546300875687313
0087545W,0.00014546300875687313
-120.139444,0.00014546300875687313
-117.604167,0.00014546300875687313
-119.840277,0.00014546300875687313
1225143W,0.00014546300875687313
-147.859722,0.00014546300875687313
-117.781945,0.00014546300875687313
0081128W,0.00014546300875687313
0078840W,0.00014546300875687313
1212437W,0.00014546300875687313
-80.278334,0.00014546300875687313
1155942W,0.00014546300875687313
0883342W,0.00014546300875687313
-99.085555,0.00014546300875687313
0773327W,0.00014546300875687313
-80.368334,0.00014546300875687313
1195029W,0.00014546300875687313
0815148W,0.00014546300875687313
-119,0.00014546300875687313
0080255W,0.00014546300875687313
0932731W,0.00014546300875687313
0008056W,0.00014546300875687313
-119.819723,0.00014546300875687313
0844611W,0.00014546300875687313
0083462W,0.00014546300875687313
0083402W,0.00014546300875687313
1161322W,0.00014546300875687313
-73.862778,0.00014546300875687313
0952837W,0.00014546300875687313
-115.329723,0.00014546300875687313
-80.290555,0.00014546300875687313
0119539W,0.00014546300875687313
-111.661111,0.00014546300875687313
0813748W,0.00014546300875687313
-97.580556,0.00014546300875687313
-81.775556,0.00014546300875687313
0762935W,0.00014546300875687313
0985433W,0.00014546300875687313
0931344W,0.00014546300875687313
0845055W,0.00014546300875687313
0117532W,0.00014546300875687313
0081248W,0.00014546300875687313
-82.224167,0.00014546300875687313
-121.238333,0.00014546300875687313
1124025W,0.00014546300875687313
0097440W,0.00014546300875687313
-75.072223,0.00014546300875687313
0080418W,0.00014546300875687313
1042947W,0.00014546300875687313
1182023W,0.00014546300875687313
1182431W,0.00014546300875687313
1213733W,0.00014546300875687313
0875424W,0.00014546300875687313
-74.244444,0.00014546300875687313
-80.799166,0.00014546300875687313
0821040W,0.00014546300875687313
-81.683333,0.00014546300875687313
-149.846111,0.00014546300875687313
-95.278889,0.00014546300875687313
-150.093611,0.00014546300875687313
-81.113611,0.00014546300875687313
-115.183333,0.00014546300875687313
-87.907778,0.00014546300875687313
0964857W,0.00014546300875687313
1124110W,0.00014546300875687313
0095016W,0.00014546300875687313
1141522W,0.0001163704070054985
-95.476945,0.0001163704070054985
