Model,proportion
DA20-C1,0.00015766298410982353
G 164B,0.00015766298410982353
390,0.00015766298410982353
PA 22,0.00015766298410982353
G-21A,0.00015766298410982353
R-22A,0.00015766298410982353
PA-25-150,0.00015766298410982353
VANS RV-4,0.00015766298410982353
A60,0.00015766298410982353
BO-105S,0.00015766298410982353
T207,0.00015766298410982353
11BC,0.00015766298410982353
M7,0.00015766298410982353
DHC2,0.00015766298410982353
PA 32-300,0.00015766298410982353
210C,0.00015766298410982353
415-CD,0.00015766298410982353
400A,0.00015766298410982353
S-1C,0.00015766298410982353
QUICKSILVER MX,0.00015766298410982353
B-2,0.00015766298410982353
737-700,0.00015766298410982353
1,0.00015766298410982353
PA 25-235,0.00015766298410982353
DC-10,0.00015766298410982353
PA30,0.00015766298410982353
CL-600,0.00015766298410982353
E90,0.00015766298410982353
BE-76,0.00015766298410982353
M-7-235C,0.00015766298410982353
PITTS S-2A,0.00015766298410982353
AT-402B,0.00015766298410982353
162F,0.00015766298410982353
BC12-65,0.00014640134238769328
AX-6,0.00014640134238769328
14-13-2,0.00014640134238769328
47,0.00014640134238769328
200D,0.00014640134238769328
164A,0.00014640134238769328
MD-11F,0.00014640134238769328
210J,0.00014640134238769328
ACRO SPORT II,0.00014640134238769328
Blanik L-13,0.00014640134238769328
EXEC,0.00014640134238769328
Rans S-12,0.00014640134238769328
T210G,0.00014640134238769328
F-33A,0.00014640134238769328
337C,0.00014640134238769328
310F,0.00014640134238769328
737-322,0.00014640134238769328
SA-26AT,0.00014640134238769328
310G,0.00014640134238769328
AX-7,0.00014640134238769328
YMF-5,0.00014640134238769328
PA-601P,0.00014640134238769328
DHC8,0.00014640134238769328
JA30 SUPERSTOL,0.00014640134238769328
EAGLE II,0.00014640134238769328
CL-600-2C10,0.00014640134238769328
BD-5,0.00014640134238769328
LANCAIR 360,0.00014640134238769328
AW139,0.00014640134238769328
BC-65,0.00014640134238769328
S2B,0.00014640134238769328
310H,0.00014640134238769328
620,0.00014640134238769328
S92,0.00014640134238769328
25,0.00014640134238769328
18,0.00014640134238769328
K-1200,0.00014640134238769328
AT-402A,0.00014640134238769328
