latitude,longitude
421313N,0091948W
441917N,0943013W
414511N,0914324W
044565N,0093337W
455115N,0100431W
423132N,0883911W
334644N,0843110W
033350N,0112325W
,
403521N,0752810W
385033N,0090300W
385812N,0755159W
412644N,0722720W
615124N,1512356W
034431N,0078056W
382353N,0772720W
040744N,0753542W
040497N,0745111W
364458N,1194012W
474625N,1164914W
362556N,0812511W
272847N,0811930W
335134N,0982922W
004038N,0106251W
059720N,1552411W
423718N,0875735W
294113N,1044524W
413557N,0864239W
041139N,0833951W
045540N,0894126W
033540S,0150420E
424650N,0904052W
611315N,1484045W
334714N,0861829W
412522N,0703934W
385215N,0765236W
038484N,0945719W
485924N,1224356W
433249N,0835344W
461938N,0852918W
,
,
032450N,0097200W
261420S,0002892E
,
043425N,0742147E
003400N,0081146W
,
036448N,0011598W
040221N,1051332W
383943N,0090397W
040139N,1114324W
384419N,0902022W
033259N,0971356W
332739N,1114342W
451532N,1123315W
434931N,1173845W
041110N,0011200W
047499N,1204311W
038530N,0119590W
443330N,1071238W
045725N,0113520W
045275N,1205113W
435551N,0123026W
033751N,1171731W
481837N,1141521W
045378N,1223920W
443420N,0122415W
040256N,1114256W
021197N,1575521W
039197N,0120813W
333122N,1121725W
004160N,0120550W
343910N,0112256W
,
433553N,1185730W
451258N,1223524W
454135N,0121534W
393810N,0077722W
331845N,0865534W
283552N,0081482W
037550N,0023500E
382025N,0753037W
412059N,0714812W
321832N,0089757W
384135N,0085840W
372927N,0795212W
,
414911N,0071543W
394949N,0754611W
018284N,0066399W
031929N,0812319W
034416N,0902052W
355749N,0835225W
384229N,0843015W
325119N,0875245W
393713N,0086519W
423651N,0893525W
474040N,0093253W
421929N,0088427W
039420N,0082280W
462115N,0863716W
414145N,0088745W
414235N,0081729W
443740N,0931341W
395039N,0894040W
422711N,0881218W
035313N,0080270W
036614N,0833310W
334331N,0815528W
028346N,0814512W
342940N,0824233W
032430N,0090337W
037239N,0764650W
032366N,0086240W
434645N,0070046W
,
413550N,0742730W
415012N,0071121W
042455N,0801034W
405816N,0745950W
000828N,0782917W
413145N,0755649W
275436N,0824115W
644417N,1585624W
635549N,0146517W
622843N,1435514W
064442N,1565535W
067308N,1483111W
060430N,0158560W
006400N,0155500W
595245N,1505841W
061120N,0147520W
062130N,0141240W
635748N,1471616W
064213N,0147300W
062250N,0015100W
644825N,1474545W
059241N,1583020W
641010N,1474642W
,
404427N,0741014W
,
254649N,0801157W
037210N,0102150W
033160N,1042313W
341023N,0091568W
039476N,1043235W
335534N,0915238W
282156N,0097643W
061269N,0231117E
391312N,0106190W
393353N,1085447W
038451N,0981345W
405349N,0973722W
033125N,0096460W
038154N,1202454W
042940N,1202356W
434958N,1114824W
,
372911N,0965529W
036195N,0955353W
033258N,0801123W
038220N,0785737W
041759N,0010602W
002130S,0284255E
475029N,0963717W
039810N,0106137W
036451N,0761311W
003159N,0974111W
302316N,0954147W
405858N,1224137W
454725N,0089715W
381124N,0845139W
040757N,0834513W
042353N,0705458W
281310N,0822217W
371432N,1102534W
353941N,0106517W
422755N,0086448W
027356N,0080307W
401647N,0083653W
033733N,0117151W
,
405735N,0763634W
041142N,0814754W
325352N,0794658W
331325S,0007123W
041142N,0814755W
441846N,0832520W
028320N,0080540W
040718N,0761746W
414431N,0072393W
038429N,0842319W
403622N,0942313W
039114N,0745211W
,
402614N,1043759W
474035N,1171921W
048938N,0122932W
043349N,0112414W
162223S,0123580E
335219N,1175847W
342815N,0975735W
325355N,0080226W
038819N,0782810W
372931N,0795543W
485721N,1222729W
323416N,1114334W
354742N,1153738W
415843N,0875417W
002857N,0097224W
